ASCII SCAN ANALOG DATA:			11.10.19 26dmob ei -8 200um 7.6-6 55c.sac
DATE:	11/10/2019	TIME:	12:02:18 PM
Number of stored SCA cycles			1
Converted SCA cycle			1
INFO SCAN:		1
Data Titel	Ion Current
Data Unit	A
Scan Titel	Mass
Scan Unit	amu
Comment	
First Mass	  1.00
Scan Width	220
Values/Mass	64
Zoom Start	  1.00
Zoom End	221.00
Cycle	CycleDate	CycleTime	
1	11/10/2019	12:02:18:79 PM
ScanData	1
   1.00	1.05937E-009
   1.02	1.05E-009
   1.03	1.0375E-009
   1.05	1.0125E-009
   1.06	9.84375E-010
   1.08	9.625E-010
   1.09	9.375E-010
   1.11	9.0625E-010
   1.13	8.8125E-010
   1.14	8.6875E-010
   1.16	8.59375E-010
   1.17	8.5625E-010
   1.19	8.59375E-010
   1.20	8.59375E-010
   1.22	8.5625E-010
   1.23	8.28125E-010
   1.25	7.875E-010
   1.27	7.40625E-010
   1.28	7E-010
   1.30	6.5625E-010
   1.31	6.0625E-010
   1.33	5.6875E-010
   1.34	5.53125E-010
   1.36	5.46875E-010
   1.38	5.3125E-010
   1.39	5.15625E-010
   1.41	4.90625E-010
   1.42	4.65625E-010
   1.44	4.3125E-010
   1.45	4E-010
   1.47	3.6875E-010
   1.48	3.34375E-010
   1.50	3.0625E-010
   1.52	2.90625E-010
   1.53	2.875E-010
   1.55	2.90625E-010
   1.56	2.875E-010
   1.58	2.84375E-010
   1.59	2.8125E-010
   1.61	2.78125E-010
   1.63	2.75E-010
   1.64	2.71875E-010
   1.66	2.71875E-010
   1.67	2.65625E-010
   1.69	2.65625E-010
   1.70	2.6875E-010
   1.72	2.71875E-010
   1.73	2.71875E-010
   1.75	2.71875E-010
   1.77	2.6875E-010
   1.78	2.6875E-010
   1.80	2.71875E-010
   1.81	2.78125E-010
   1.83	2.8125E-010
   1.84	2.8125E-010
   1.86	2.78125E-010
   1.88	2.75E-010
   1.89	2.71875E-010
   1.91	2.625E-010
   1.92	2.46875E-010
   1.94	2.34375E-010
   1.95	2.28125E-010
   1.97	2.28125E-010
   1.98	2.25E-010
   2.00	2.25E-010
   2.02	2.21875E-010
   2.03	2.21875E-010
   2.05	2.21875E-010
