ASCII SCAN ANALOG DATA:			04.09.19 234tmb ei -8 200um 7.9-6 40c.sac
DATE:	04/09/2019	TIME:	10:42:06 PM
Number of stored SCA cycles			1
Converted SCA cycle			1
INFO SCAN:		1
Data Titel	Ion Current
Data Unit	A
Scan Titel	Mass
Scan Unit	amu
Comment	
First Mass	  1.00
Scan Width	220
Values/Mass	64
Zoom Start	  1.00
Zoom End	221.00
Cycle	CycleDate	CycleTime	
1	04/09/2019	10:42:06:75 PM
ScanData	1
   1.00	9.5E-010
   1.02	9.5625E-010
   1.03	9.40625E-010
   1.05	9.0625E-010
   1.06	8.625E-010
   1.08	8.25E-010
   1.09	7.875E-010
   1.11	7.4375E-010
   1.13	7.09375E-010
   1.14	6.90625E-010
   1.16	6.90625E-010
   1.17	6.90625E-010
   1.19	7.09375E-010
   1.20	7.40625E-010
   1.22	7.59375E-010
   1.23	7.375E-010
   1.25	6.9375E-010
   1.27	6.46875E-010
   1.28	6.03125E-010
   1.30	5.625E-010
   1.31	5.1875E-010
   1.33	4.84375E-010
   1.34	4.65625E-010
   1.36	4.59375E-010
   1.38	4.5625E-010
   1.39	4.4375E-010
   1.41	4.21875E-010
   1.42	3.96875E-010
   1.44	3.75E-010
   1.45	3.59375E-010
   1.47	3.40625E-010
   1.48	3.1875E-010
   1.50	2.96875E-010
   1.52	2.8125E-010
   1.53	2.6875E-010
   1.55	2.5625E-010
   1.56	2.4375E-010
   1.58	2.40625E-010
   1.59	2.375E-010
   1.61	2.3125E-010
   1.63	2.21875E-010
   1.64	2.125E-010
   1.66	2.0625E-010
   1.67	2E-010
   1.69	1.96875E-010
   1.70	2E-010
   1.72	2E-010
   1.73	2E-010
   1.75	2.03125E-010
   1.77	2.0625E-010
   1.78	2.0625E-010
   1.80	2.09375E-010
   1.81	2.09375E-010
   1.83	2.125E-010
   1.84	2.15625E-010
   1.86	2.15625E-010
   1.88	2.09375E-010
   1.89	2.03125E-010
   1.91	1.96875E-010
   1.92	1.90625E-010
   1.94	1.8125E-010
   1.95	1.75E-010
   1.97	1.71875E-010
   1.98	1.71875E-010
   2.00	1.75E-010
   2.02	1.8125E-010
   2.03	1.875E-010
   2.05	1.9375E-010
   2.06	1.96875E-010
